Commune,proportion23_6,prop_acc_autouroute,age,Hiver,Automne,Printemps,Ete,Plein_jour,Crepuscule_ou_aube,Nuit_s_eclairage_public,Nuit_a_eclairage_public_n_allume,Nuit_a_eclairage_public_allume,M,F,Conducteur,Passager,Pieton,prop_acc_deux_roues,prop_acc_quatre_roues,prop_acc_bus_train,Superficie,prop_chaumage,prop_actif,score_norm,score_bin,score_multi
33487,0.0,1.0,36.0,0.4,0.4,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,14.0,5.0,0.0,0.0,1.0,0.0,13.88,0.0738733386081853,0.492755538321573,0.6521606334271177,1,2
77343,0.0,0.0,44.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,5.0,1.0,0.0,0.0,1.0,0.0,10.12,0.04846938775510204,0.5382653061224489,0.5292578120838172,1,2
25147,0.0,0.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.67,0.33,0.0,12.44,0.02902757619738748,0.502660861151425,0.31228740630979307,0,1
64368,0.0,0.0,47.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,1.0,0.0,8.16,0.036,0.476,0.25355180681150685,0,1
59286,0.0,0.0,37.0,0.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.25,1.0,0.0,5.0,1.0,2.0,0.0,0.6,0.0,5.31,0.06788135587335375,0.4763053100577005,0.4969872180097558,1,2
29010,0.0,0.0,41.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,4.0,0.0,1.0,0.0,0.8,0.0,20.08,0.04220487460090444,0.5309984995643569,0.4963740604679541,1,2
32065,0.0,0.0,66.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.96,0.07684960263736386,0.5219820102371365,0.2519371746949009,0,1
29184,0.0,0.0,32.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,30.64,0.0543878936128,0.46459484769448517,0.4691057102310214,1,2
22238,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.5,0.05595759033489849,0.4430775524872354,0.2519371746949009,0,1
53091,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,26.03,0.038446234115760085,0.41287470312991226,0.25355180681150685,0,1
37216,0.0,0.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,62.65,0.05394622134909707,0.46434354167826347,0.2519371746949009,0,1
41186,1.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.23,0.023255813953488382,0.45514950166112944,0.2519371746949009,0,1
